"n","side_length","est_k"
2,10,2
2,9.75,2
2,9.5,2
2,9.25,2
2,9,2
2,8.75,2
2,8.5,2
2,8.25,2
2,8,2
2,7.75,2
2,7.5,2
2,7.25,2
2,7,2
2,6.75,2
2,6.5,2
2,6.25,2
2,6,2
2,5.75,2
2,5.5,2
2,5.25,2
2,5,2
2,4.75,2
2,4.5,2
2,4.25,2
2,4,2
2,3.75,2
2,3.5,2
2,3.25,2
2,3,2
2,2.75,2
2,2.5,2
2,2.25,2
2,2,2
2,1.75,1
2,1.5,1
2,1.25,1
2,1,1
3,10,3
3,9.75,3
3,9.5,3
3,9.25,3
3,9,3
3,8.75,3
3,8.5,3
3,8.25,3
3,8,3
3,7.75,3
3,7.5,3
3,7.25,3
3,7,3
3,6.75,3
3,6.5,3
3,6.25,3
3,6,3
3,5.75,3
3,5.5,3
3,5.25,3
3,5,3
3,4.75,3
3,4.5,3
3,4.25,3
3,4,3
3,3.75,3
3,3.5,3
3,3.25,3
3,3,3
3,2.75,3
3,2.5,3
3,2.25,1
3,2,1
3,1.75,1
3,1.5,1
3,1.25,1
3,1,1
4,10,4
4,9.75,4
4,9.5,4
4,9.25,4
4,9,4
4,8.75,4
4,8.5,4
4,8.25,4
4,8,4
4,7.75,4
4,7.5,4
4,7.25,4
4,7,4
4,6.75,4
4,6.5,4
4,6.25,4
4,6,4
4,5.75,4
4,5.5,4
4,5.25,4
4,5,4
4,4.75,4
4,4.5,4
4,4.25,4
4,4,4
4,3.75,4
4,3.5,4
4,3.25,1
4,3,1
4,2.75,1
4,2.5,1
4,2.25,1
4,2,1
4,1.75,1
4,1.5,1
4,1.25,1
4,1,1
5,10,5
5,9.75,5
5,9.5,5
5,9.25,5
5,9,5
5,8.75,5
5,8.5,5
5,8.25,5
5,8,5
5,7.75,5
5,7.5,5
5,7.25,5
5,7,5
5,6.75,5
5,6.5,5
5,6.25,5
5,6,5
5,5.75,5
5,5.5,5
5,5.25,5
5,5,5
5,4.75,5
5,4.5,5
5,4.25,5
5,4,5
5,3.75,5
5,3.5,1
5,3.25,1
5,3,1
5,2.75,1
5,2.5,1
5,2.25,1
5,2,1
5,1.75,1
5,1.5,1
5,1.25,1
5,1,1
6,10,6
6,9.75,6
6,9.5,6
6,9.25,6
6,9,6
6,8.75,6
6,8.5,6
6,8.25,6
6,8,6
6,7.75,6
6,7.5,6
6,7.25,6
6,7,6
6,6.75,6
6,6.5,6
6,6.25,6
6,6,6
6,5.75,6
6,5.5,6
6,5.25,6
6,5,6
6,4.75,6
6,4.5,6
6,4.25,6
6,4,6
6,3.75,1
6,3.5,1
6,3.25,1
6,3,1
6,2.75,1
6,2.5,1
6,2.25,1
6,2,1
6,1.75,1
6,1.5,1
6,1.25,1
6,1,1
